compound,km_marker,starting_price_egp,price_year,notes
Marassi North Coast,129.0,1500000,2022,chalet starting price
Amwaj North Coast,136.0,2500000,2022,chalet starting price
La Vista North Coast,170.0,3000000,2022,chalet starting price
Fouka Bay North Coast,211.0,4300000,2022,chalet starting price
La Vista Bay North Coast,170.0,2000000,2022,chalet starting price
Blue Park Sidi Abdel Rahman,130.0,4200000,2022,chalet starting price
Telal North Coast,129.0,3000000,2022,chalet starting price
Venus Resort North Coast,49.5,650000,2022,chalet starting price
Hacienda Bay North Coast,124.0,1800000,2022,chalet starting price
Bo Sands North Coast,121.5,1200000,2022,chalet starting price
Hacienda White,130.0,3000000,2022,chalet starting price
Helio Beach North Coast,50.0,475000,2022,chalet starting price
Marsilia North Coast,69.0,450000,2022,chalet starting price
Marsilia Beach 2 North Coast,73.0,1200000,2022,chalet starting price
Golf Marina,95.0,750000,2022,property starting price
Diplo North Coast,52.0,1500000,2022,chalet starting price
Amoun Resort North Coast,36.5,3500000,2022,chalet starting price
City Stars North Coast,195.0,1850000,2022,property starting price
Bo Island North Coast,120.0,2500000,2022,chalet starting price
Guevara Sidi Abdel Rahman,130.0,1000000,2022,chalet starting price
Nice North Coast,63.0,900000,2022,chalet starting price
Mina 5 North Coast,201.0,1650000,2022,chalet starting price
The Shore North Coast,186.0,772000,2022,chalet starting price
Marina North Coast,102.0,1500000,2022,chalet starting price
Marina Flowers North Coast,80.0,850000,2022,chalet starting price
Seashell North Coast,134.0,2500000,2022,chalet starting price
Blumar Wadi Degla,136.0,1200000,2022,chalet starting price
Swan Lake North Coast,180.0,3000000,2022,chalet starting price
Silla North Coast,136.0,700000,2022,chalet starting price
Kay North Coast,220.0,1200000,2022,chalet starting price
Krer Lagoon,38.5,3160000,2022,chalet starting price
Diamond Beach North Coast,90.0,850000,2022,chalet starting price
Heidi Resort North Coast,58.5,1000000,2022,chalet/villa starting price
Diplomatic Village North Coast,57.0,1350000,2022,chalet starting price
Emirates Heights North Coast,179.0,1300000,2022,property starting price
Golden Beach North Coast,25.0,1350000,2022,chalet starting price
Lazurde Bay North Coast,121.0,2000000,2022,chalet starting price
Stella North Coast,124.0,2500000,2022,chalet starting price
Sidra North Coast,36.0,1000000,2022,chalet starting price
Lotus North Coast,31.0,1250000,2022,chalet starting price
Zomoroda North Coast,93.0,650000,2022,chalet starting price
Green Beach North Coast,89.0,1200000,2022,property starting price
Marakia North Coast,51.0,500000,2022,property starting price
Al Shorouk North Coast,40.0,750000,2022,property starting price
Casabianca North Coast,70.0,800000,2022,chalet starting price
Badr Resort North Coast,82.5,1200000,2022,property starting price
Dimora North Coast,75.0,290000,2022,chalet starting price
Marbella North Coast,67.0,750000,2022,chalet starting price
Ramses Resort North Coast,40.0,900000,2022,property starting price
El Montazah North Coast,79.5,850000,2022,chalet starting price
Aida Resort North Coast,77.0,450000,2022,property starting price
Al Roda North Coast,71.0,700000,2022,chalet starting price
Green Resort North Coast,7.0,950000,2022,chalet starting price
Casablanca North Coast,46.0,600000,2022,chalet starting price
Al Fayrouz Resort North Coast,37.0,170000,2022,chalet starting price
Tiba Rose North Coast,60.0,1500000,2022,property starting price
Cleopatra Resort North Coast,86.0,700000,2022,property starting price
Remas North Coast,70.0,950000,2022,chalet starting price
Al Karawan Resort North Coast,70.0,600000,2022,chalet starting price
Sumed North Coast,89.0,1000000,2022,property starting price
La Sirena North Coast,306.0,950000,2022,chalet starting price
Mountain View Ras El Hekma,200.0,1800000,2025,chalet starting price (updated)
June Ras El Hekma,193.0,4050000,2025,chalet price (updated)
Silversands,247.0,28200000,2026,project-wide starting price - ultra prime
Solare,199.0,13445722,2026,chalet starting price
Gaia,193.0,3400000,2026,chalet starting price
Seazen,170.0,6400000,2026,chalet price
Salt North Coast,185.0,28000000,2026,twin house starting price - project skews premium
D-Bay,167.0,13836000,2026,chalet starting price
Palm Hills New Alamein,108.0,8815000,2026,chalet starting price
Mazarine,107.0,9770000,2026,chalet starting price
SouthMed,167.0,14500000,2026,chalet starting price
Almaza Bay,247.0,10700000,2026,chalet starting price
Naia Bay,199.0,9000000,2026,chalet starting price
Downtown New Alamein,108.0,6600000,2026,chalet starting price
Modon Ras El Hekma (Wadi Yemm),200.0,15900000,2026,unit starting price - published range 15.9M-324M
