compound,km_marker,starting_price_egp,price_year,notes,zone
Marassi North Coast,129.0,1500000,2022,chalet starting price,Sidi Abdel Rahman
Amwaj North Coast,136.0,2500000,2022,chalet starting price,Sidi Abdel Rahman
La Vista North Coast,170.0,3000000,2022,chalet starting price,Al Dabaa
Fouka Bay North Coast,211.0,4300000,2022,chalet starting price,Ras El Hekma
La Vista Bay North Coast,170.0,2000000,2022,chalet starting price,Al Dabaa
Blue Park Sidi Abdel Rahman,130.0,4200000,2022,chalet starting price,Sidi Abdel Rahman
Telal North Coast,129.0,3000000,2022,chalet starting price,Sidi Abdel Rahman
Venus Resort North Coast,49.5,650000,2022,chalet starting price,Alexandria Corridor (<km100)
Hacienda Bay North Coast,124.0,1800000,2022,chalet starting price,Sidi Abdel Rahman
Bo Sands North Coast,121.5,1200000,2022,chalet starting price,Al Alamein
Hacienda White,130.0,3000000,2022,chalet starting price,Sidi Abdel Rahman
Helio Beach North Coast,50.0,475000,2022,chalet starting price,Alexandria Corridor (<km100)
Marsilia North Coast,69.0,450000,2022,chalet starting price,Alexandria Corridor (<km100)
Marsilia Beach 2 North Coast,73.0,1200000,2022,chalet starting price,Alexandria Corridor (<km100)
Golf Marina,95.0,750000,2022,property starting price,Alexandria Corridor (<km100)
Diplo North Coast,52.0,1500000,2022,chalet starting price,Alexandria Corridor (<km100)
Amoun Resort North Coast,36.5,3500000,2022,chalet starting price,Alexandria Corridor (<km100)
City Stars North Coast,195.0,1850000,2022,property starting price,Ras El Hekma
Bo Island North Coast,120.0,2500000,2022,chalet starting price,Al Alamein
Guevara Sidi Abdel Rahman,130.0,1000000,2022,chalet starting price,Sidi Abdel Rahman
Nice North Coast,63.0,900000,2022,chalet starting price,Alexandria Corridor (<km100)
Mina 5 North Coast,201.0,1650000,2022,chalet starting price,Ras El Hekma
The Shore North Coast,186.0,772000,2022,chalet starting price,Ras El Hekma
Marina North Coast,102.0,1500000,2022,chalet starting price,Al Alamein
Marina Flowers North Coast,80.0,850000,2022,chalet starting price,Alexandria Corridor (<km100)
Seashell North Coast,134.0,2500000,2022,chalet starting price,Sidi Abdel Rahman
Blumar Wadi Degla,136.0,1200000,2022,chalet starting price,Sidi Abdel Rahman
Swan Lake North Coast,180.0,3000000,2022,chalet starting price,Ras El Hekma
Silla North Coast,136.0,700000,2022,chalet starting price,Sidi Abdel Rahman
Kay North Coast,220.0,1200000,2022,chalet starting price,Ras El Hekma
Krer Lagoon,38.5,3160000,2022,chalet starting price,Alexandria Corridor (<km100)
Diamond Beach North Coast,90.0,850000,2022,chalet starting price,Alexandria Corridor (<km100)
Heidi Resort North Coast,58.5,1000000,2022,chalet/villa starting price,Alexandria Corridor (<km100)
Diplomatic Village North Coast,57.0,1350000,2022,chalet starting price,Alexandria Corridor (<km100)
Emirates Heights North Coast,179.0,1300000,2022,property starting price,Ras El Hekma
Golden Beach North Coast,25.0,1350000,2022,chalet starting price,Alexandria Corridor (<km100)
Lazurde Bay North Coast,121.0,2000000,2022,chalet starting price,Al Alamein
Stella North Coast,124.0,2500000,2022,chalet starting price,Sidi Abdel Rahman
Sidra North Coast,36.0,1000000,2022,chalet starting price,Alexandria Corridor (<km100)
Lotus North Coast,31.0,1250000,2022,chalet starting price,Alexandria Corridor (<km100)
Zomoroda North Coast,93.0,650000,2022,chalet starting price,Alexandria Corridor (<km100)
Green Beach North Coast,89.0,1200000,2022,property starting price,Alexandria Corridor (<km100)
Marakia North Coast,51.0,500000,2022,property starting price,Alexandria Corridor (<km100)
Al Shorouk North Coast,40.0,750000,2022,property starting price,Alexandria Corridor (<km100)
Casabianca North Coast,70.0,800000,2022,chalet starting price,Alexandria Corridor (<km100)
Badr Resort North Coast,82.5,1200000,2022,property starting price,Alexandria Corridor (<km100)
Dimora North Coast,75.0,290000,2022,chalet starting price,Alexandria Corridor (<km100)
Marbella North Coast,67.0,750000,2022,chalet starting price,Alexandria Corridor (<km100)
Ramses Resort North Coast,40.0,900000,2022,property starting price,Alexandria Corridor (<km100)
El Montazah North Coast,79.5,850000,2022,chalet starting price,Alexandria Corridor (<km100)
Aida Resort North Coast,77.0,450000,2022,property starting price,Alexandria Corridor (<km100)
Al Roda North Coast,71.0,700000,2022,chalet starting price,Alexandria Corridor (<km100)
Green Resort North Coast,7.0,950000,2022,chalet starting price,Alexandria Corridor (<km100)
Casablanca North Coast,46.0,600000,2022,chalet starting price,Alexandria Corridor (<km100)
Al Fayrouz Resort North Coast,37.0,170000,2022,chalet starting price,Alexandria Corridor (<km100)
Tiba Rose North Coast,60.0,1500000,2022,property starting price,Alexandria Corridor (<km100)
Cleopatra Resort North Coast,86.0,700000,2022,property starting price,Alexandria Corridor (<km100)
Remas North Coast,70.0,950000,2022,chalet starting price,Alexandria Corridor (<km100)
Al Karawan Resort North Coast,70.0,600000,2022,chalet starting price,Alexandria Corridor (<km100)
Sumed North Coast,89.0,1000000,2022,property starting price,Alexandria Corridor (<km100)
La Sirena North Coast,306.0,950000,2022,chalet starting price,Far West (>km250)
Mountain View Ras El Hekma,200.0,1800000,2025,chalet starting price (updated),Ras El Hekma
June Ras El Hekma,193.0,4050000,2025,chalet price (updated),Ras El Hekma
Silversands,247.0,28200000,2026,project-wide starting price - ultra prime,Sidi Heneish
Solare,199.0,13445722,2026,chalet starting price,Ras El Hekma
Gaia,193.0,3400000,2026,chalet starting price,Ras El Hekma
Seazen,170.0,6400000,2026,chalet price,Al Dabaa
Salt North Coast,185.0,28000000,2026,twin house starting price - project skews premium,Ras El Hekma
D-Bay,167.0,13836000,2026,chalet starting price,Al Dabaa
Palm Hills New Alamein,108.0,8815000,2026,chalet starting price,Al Alamein
Mazarine,107.0,9770000,2026,chalet starting price,Al Alamein
SouthMed,167.0,14500000,2026,chalet starting price,Al Dabaa
Almaza Bay,247.0,10700000,2026,chalet starting price,Sidi Heneish
Naia Bay,199.0,9000000,2026,chalet starting price,Ras El Hekma
Downtown New Alamein,108.0,6600000,2026,chalet starting price,Al Alamein
Modon Ras El Hekma (Wadi Yemm),200.0,15900000,2026,unit starting price - published range 15.9M-324M,Ras El Hekma
